13:56:20.222 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 8736 (C:\Users\Lenovo\Desktop\datasync\center-client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
13:56:20.233 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
13:56:23.447 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
13:56:23.467 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
13:56:23.470 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
13:56:23.470 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
13:56:23.734 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:56:23.734 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3330 ms
13:56:24.530 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:56:25.083 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
13:56:31.655 [main] INFO  com.ntu.center.CenterClientStart - 中心数据库节点启动成功.....
13:56:31.659 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
13:56:31.713 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
13:56:31.719 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 13.207 seconds (JVM running for 17.88)
13:57:21.658 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:57:22.288 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:57:22.499 [MQTT Call: center] INFO  com.ntu.center.sync.processor.Processor1 - ==========数据同步完成===========
