16:04:18.000 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 12900 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
16:04:18.011 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
16:04:21.010 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
16:04:21.029 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
16:04:21.082 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:04:21.083 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
16:04:21.331 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:04:21.332 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2743 ms
16:04:22.270 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
16:04:22.788 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
16:04:22.832 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
16:04:22.836 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 6.709 seconds (JVM running for 12.531)
16:05:09.161 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 14204 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
16:05:09.198 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
16:05:11.475 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
16:05:11.495 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
16:05:11.496 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:05:11.496 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
16:05:11.751 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:05:11.752 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2332 ms
16:05:12.462 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
16:05:13.112 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
16:05:20.366 [main] INFO  com.ntu.center.CenterClientStart - 中央数据库节点成功连接至MQTT服务器.....
16:05:20.369 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
16:05:20.412 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
16:05:20.417 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 12.925 seconds (JVM running for 16.636)
16:08:15.099 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16:08:15.709 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16:08:15.832 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:08:26.092 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:08:37.102 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:08:48.111 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:08:59.111 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CHANGJIANG_BOX_ENVIRONMENT 表中的 2 号数据同步失败
16:10:09.281 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 11172 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
16:10:09.298 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
16:10:12.320 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
