15:10:16.244 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 15048 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
15:10:16.254 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
15:10:19.568 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
15:10:19.587 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
15:10:19.588 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
15:10:19.589 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
15:10:19.819 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15:10:19.820 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3250 ms
15:10:21.134 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
15:10:21.600 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
15:10:28.391 [main] INFO  com.ntu.client2.ClientStart - 团结河节点成功连接至MQTT服务器.........
15:10:28.397 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
15:10:28.456 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
15:10:28.464 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 14.045 seconds (JVM running for 18.627)
15:11:09.458 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=140, infoType=S, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
15:11:10.273 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:AreaSpot(infoId=140, infoNode=null, areaId=nantong, spotId=节点2, spotName=站点, spotUrl=sad, spotHistoryurl=56, spotObserargs=65756, spotObsermeth=7567, spotPosinfo=657, spotRuntime=null, spotIntro=7657)
15:11:14.297 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
15:11:14.298 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - AREA_SPOT表中 140 号数据同步成功....
15:41:30.651 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=141, infoType=S, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
15:41:31.410 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:AreaSpot(infoId=141, infoNode=null, areaId=454, spotId=543, spotName=54353, spotUrl=45, spotHistoryurl=null, spotObserargs=null, spotObsermeth=null, spotPosinfo=null, spotRuntime=null, spotIntro=null)
15:41:41.413 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=141, infoType=S, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
15:41:42.418 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:AreaSpot(infoId=141, infoNode=null, areaId=454, spotId=543, spotName=54353, spotUrl=45, spotHistoryurl=null, spotObserargs=null, spotObsermeth=null, spotPosinfo=null, spotRuntime=null, spotIntro=null)
15:41:52.420 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=141, infoType=S, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
15:41:53.424 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:AreaSpot(infoId=141, infoNode=null, areaId=454, spotId=543, spotName=54353, spotUrl=45, spotHistoryurl=null, spotObserargs=null, spotObsermeth=null, spotPosinfo=null, spotRuntime=null, spotIntro=null)
15:42:03.427 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=141, infoType=S, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
15:42:04.431 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:AreaSpot(infoId=141, infoNode=null, areaId=454, spotId=543, spotName=54353, spotUrl=45, spotHistoryurl=null, spotObserargs=null, spotObsermeth=null, spotPosinfo=null, spotRuntime=null, spotIntro=null)
15:42:14.433 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=141, infoType=S, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
